siteid,month,tmean_celsius
NAT_094,2/1/18,-6.9740295
NAT_094,3/1/18,-3.4501343
NAT_094,4/1/18,2.002533
NAT_094,5/1/18,8.188416
NAT_094,6/1/18,15.24234
NAT_094,7/1/18,19.940002
NAT_094,8/1/18,17.755737
NAT_094,9/1/18,14.42984
NAT_094,10/1/18,3.2910461
NAT_094,11/1/18,-3.275238
NAT_094,12/1/18,-8.631866
NAT_094,1/1/19,-8.003876
NAT_094,2/1/19,-8.582733
NAT_094,3/1/19,-3.6577759
NAT_094,4/1/19,1.7009888
NAT_094,5/1/19,3.6672363
NAT_094,6/1/19,11.440369
NAT_094,7/1/19,18.495148
NAT_094,8/1/19,18.059448
NAT_094,9/1/19,12.14566
NAT_094,10/1/19,0.6385193
NAT_094,11/1/19,-1.0840759
NAT_094,12/1/19,-7.746399
NAT_094,1/1/20,-7.3117065
NAT_094,2/1/20,-7.6815796
NAT_094,3/1/20,-2.3789673
NAT_094,4/1/20,0.88552856
NAT_094,5/1/20,7.9692383
NAT_094,6/1/20,12.877563
NAT_094,7/1/20,18.675201
NAT_094,8/1/20,20.156372
NAT_094,9/1/20,13.389313
NAT_094,10/1/20,7.0068665
NAT_094,11/1/20,-2.8025208
NAT_094,12/1/20,-8.156097
NAT_094,1/1/21,-7.9734497
NAT_094,2/1/21,-7.3490906
NAT_094,3/1/21,-3.8466492
NAT_094,4/1/21,0.6411743
NAT_094,5/1/21,7.1092834
NAT_094,6/1/21,17.501099
NAT_094,7/1/21,20.456085
NAT_094,8/1/21,16.877502
NAT_094,9/1/21,13.451752
NAT_094,10/1/21,3.197113
NAT_094,11/1/21,1.0995483
NAT_094,12/1/21,-5.82428
NAT_094,1/1/22,-7.554596
NAT_094,2/1/22,-7.808655
NAT_094,3/1/22,-2.7660522
NAT_094,4/1/22,-0.030700684
NAT_094,5/1/22,5.210144
NAT_094,6/1/22,13.701416
NAT_094,7/1/22,19.889893
NAT_094,8/1/22,17.773743
NAT_094,9/1/22,14.660889
NAT_094,10/1/22,5.318878
NAT_094,11/1/22,-6.8239746
NAT_094,12/1/22,-8.1362915
NAT_095,1/1/18,-2.9543457
NAT_095,2/1/18,-4.3095093
NAT_095,3/1/18,-0.6283264
NAT_095,4/1/18,6.200989
NAT_095,5/1/18,11.948151
NAT_095,6/1/18,19.106598
NAT_095,7/1/18,22.18164
NAT_095,8/1/18,20.297516
NAT_095,9/1/18,16.675781
NAT_095,10/1/18,4.999878
NAT_095,11/1/18,-0.65496826
NAT_095,12/1/18,-6.557678
NAT_095,1/1/19,-6.998413
NAT_095,2/1/19,-7.7149353
NAT_095,3/1/19,-1.6754456
NAT_095,4/1/19,4.326782
NAT_095,5/1/19,6.024994
NAT_095,6/1/19,14.9935
NAT_095,7/1/19,21.093811
NAT_095,8/1/19,20.923584
NAT_095,9/1/19,15.458893
NAT_095,10/1/19,4.494446
NAT_095,11/1/19,1.4883423
NAT_095,12/1/19,-6.167206
NAT_095,1/1/20,-6.6640625
NAT_095,2/1/20,-5.1803284
NAT_095,3/1/20,-0.10107422
NAT_095,4/1/20,4.5271606
NAT_095,5/1/20,12.774902
NAT_095,6/1/20,16.999176
NAT_095,7/1/20,21.56018
NAT_095,8/1/20,22.737549
NAT_095,9/1/20,15.753479
NAT_095,10/1/20,9.86142
NAT_095,11/1/20,0.8709717
NAT_095,12/1/20,-4.9753723
NAT_095,1/1/21,-6.362549
NAT_095,2/1/21,-5.581604
NAT_095,3/1/21,-1.6008911
NAT_095,4/1/21,5.043396
NAT_095,5/1/21,11.660767
NAT_095,6/1/21,20.502838
NAT_095,7/1/21,22.209442
NAT_095,8/1/21,19.332153
NAT_095,9/1/21,15.784576
NAT_095,10/1/21,5.3399353
NAT_095,11/1/21,3.7619019
NAT_095,12/1/21,-3.8295288
NAT_095,1/1/22,-5.6307983
NAT_095,2/1/22,-5.181061
NAT_095,3/1/22,-0.42626953
NAT_095,4/1/22,4.4081726
NAT_095,5/1/22,10.35318
NAT_095,6/1/22,18.105347
NAT_095,7/1/22,21.869202
NAT_095,8/1/22,19.514282
NAT_095,9/1/22,16.912537
NAT_095,10/1/22,7.318939
NAT_095,11/1/22,-3.4852905
NAT_095,12/1/22,-5.9661865
NAT_096,1/1/18,-1.7365723
NAT_096,2/1/18,-3.1793518
NAT_096,3/1/18,0.14855957
NAT_096,4/1/18,7.993042
NAT_096,5/1/18,12.730225
NAT_096,6/1/18,20.183533
NAT_096,7/1/18,22.301453
NAT_096,8/1/18,20.784943
NAT_096,9/1/18,17.569641
NAT_096,10/1/18,6.2726135
NAT_096,11/1/18,1.463623
NAT_096,12/1/18,-4.7786865
NAT_096,1/1/19,-5.5367737
NAT_096,2/1/19,-7.2063904
NAT_096,3/1/19,-0.8694763
NAT_096,4/1/19,5.160492
NAT_096,5/1/19,6.6317444
NAT_096,6/1/19,15.875732
NAT_096,7/1/19,20.99353
NAT_096,8/1/19,21.440033
NAT_096,9/1/19,16.19165
NAT_096,10/1/19,6.524292
NAT_096,11/1/19,2.6732788
NAT_096,12/1/19,-5.2446594
NAT_096,1/1/20,-5.1210327
NAT_096,2/1/20,-3.7888184
NAT_096,3/1/20,-0.11425781
NAT_096,4/1/20,5.332184
NAT_096,5/1/20,13.686768
NAT_096,6/1/20,18.015442
NAT_096,7/1/20,22.203339
NAT_096,8/1/20,23.062683
NAT_096,9/1/20,17.543793
NAT_096,10/1/20,11.738251
NAT_096,11/1/20,2.3509521
NAT_096,12/1/20,-2.4398804
NAT_096,1/1/21,-4.5964355
NAT_096,2/1/21,-3.9374695
NAT_096,3/1/21,-0.67276
NAT_096,4/1/21,7.171814
NAT_096,5/1/21,12.746521
NAT_096,6/1/21,21.144531
NAT_096,7/1/21,22.054932
NAT_096,8/1/21,20.080658
NAT_096,9/1/21,16.991516
NAT_096,10/1/21,6.1913147
NAT_096,11/1/21,5.3392944
NAT_096,12/1/21,-2.947174
NAT_096,1/1/22,-5.4925537
NAT_096,2/1/22,-4.4999084
NAT_096,3/1/22,0.6341858
NAT_096,4/1/22,6.340851
NAT_096,5/1/22,12.185486
NAT_096,6/1/22,19.20346
NAT_096,7/1/22,22.002716
NAT_096,8/1/22,19.07782
NAT_096,9/1/22,17.179077
NAT_096,10/1/22,8.690063
NAT_096,11/1/22,-3.5924377
NAT_096,12/1/22,-5.380249
NAT_097,1/1/18,1.624115
NAT_097,2/1/18,-1.0935364
NAT_097,3/1/18,-0.5826416
NAT_097,4/1/18,4.7411194
NAT_097,5/1/18,8.793854
NAT_097,6/1/18,16.009949
NAT_097,7/1/18,20.67987
NAT_097,8/1/18,18.961151
NAT_097,9/1/18,15.713013
NAT_097,10/1/18,9.043152
NAT_097,11/1/18,5.4313965
NAT_097,12/1/18,-0.7467041
NAT_097,1/1/19,-0.8579712
NAT_097,2/1/19,-4.941864
NAT_097,3/1/19,-0.4564209
NAT_097,4/1/19,5.109192
NAT_097,5/1/19,5.224823
NAT_097,6/1/19,13.934662
NAT_097,7/1/19,18.047455
NAT_097,8/1/19,18.959015
NAT_097,9/1/19,13.9470215
NAT_097,10/1/19,8.962067
NAT_097,11/1/19,5.097412
NAT_097,12/1/19,-1.0974426
NAT_097,1/1/20,-0.5534668
NAT_097,2/1/20,0.92025757
NAT_097,3/1/20,-0.7357178
NAT_097,4/1/20,4.082794
NAT_097,5/1/20,10.010773
NAT_097,6/1/20,14.588257
NAT_097,7/1/20,18.968811
NAT_097,8/1/20,19.817291
NAT_097,9/1/20,17.829102
NAT_097,10/1/20,13.243805
NAT_097,11/1/20,2.8143005
NAT_097,12/1/20,0.13604736
NAT_097,1/1/21,-0.75738525
NAT_097,2/1/21,-0.44863892
NAT_097,3/1/21,-0.76205444
NAT_097,4/1/21,5.2770996
NAT_097,5/1/21,9.848755
NAT_097,6/1/21,17.675568
NAT_097,7/1/21,20.879578
NAT_097,8/1/21,19.519653
NAT_097,9/1/21,16.667969
NAT_097,10/1/21,7.1473694
NAT_097,11/1/21,5.840973
NAT_097,12/1/21,-0.8323364
NAT_097,1/1/22,-0.6388855
NAT_097,2/1/22,-0.45996094
NAT_097,3/1/22,2.2956238
NAT_097,4/1/22,4.3667297
NAT_097,5/1/22,9.280365
NAT_097,6/1/22,15.620331
NAT_097,7/1/22,20.023773
NAT_097,8/1/22,19.457916
NAT_097,9/1/22,16.274109
NAT_097,10/1/22,10.80072
NAT_097,11/1/22,-0.9407959
NAT_097,12/1/22,-2.075409
NAT_098,1/1/18,1.6658936
NAT_098,2/1/18,-0.8460388
NAT_098,3/1/18,0.46115112
NAT_098,4/1/18,4.126251
NAT_098,5/1/18,10.71521
NAT_098,6/1/18,12.418762
NAT_098,7/1/18,19.319122
NAT_098,8/1/18,18.2706
NAT_098,9/1/18,12.719147
NAT_098,10/1/18,8.834106
NAT_098,11/1/18,3.4740906
NAT_098,12/1/18,-0.62857056
NAT_098,1/1/19,0.9472656
NAT_098,2/1/19,-3.0334473
NAT_098,3/1/19,-0.25076294
NAT_098,4/1/19,4.8086853
NAT_098,5/1/19,9.597565
NAT_098,6/1/19,13.18338
NAT_098,7/1/19,16.056946
NAT_098,8/1/19,17.759552
NAT_098,9/1/19,11.728821
NAT_098,10/1/19,5.457367
NAT_098,11/1/19,3.730774
NAT_098,12/1/19,0.6029053
NAT_098,1/1/20,0.32177734
NAT_098,2/1/20,-0.1819458
NAT_098,3/1/20,1.0815125
NAT_098,4/1/20,5.3780212
NAT_098,5/1/20,9.091553
NAT_098,6/1/20,11.679871
NAT_098,7/1/20,16.761688
NAT_098,8/1/20,17.990692
NAT_098,9/1/20,16.517273
NAT_098,10/1/20,9.384277
NAT_098,11/1/20,1.8510132
NAT_098,12/1/20,0.5088806
NAT_098,1/1/21,0.88360596
NAT_098,2/1/21,-0.7547302
NAT_098,3/1/21,0.61953735
NAT_098,4/1/21,5.481781
NAT_098,5/1/21,8.858856
NAT_098,6/1/21,16.168457
NAT_098,7/1/21,20.16275
NAT_098,8/1/21,18.443481
NAT_098,9/1/21,14.300018
NAT_098,10/1/21,6.828308
NAT_098,11/1/21,4.324463
NAT_098,12/1/21,-0.47036743
NAT_098,1/1/22,0.2501831
NAT_098,2/1/22,0.4390564
NAT_098,3/1/22,3.022644
NAT_098,4/1/22,1.574646
NAT_098,5/1/22,5.7738953
NAT_098,6/1/22,11.924438
NAT_098,7/1/22,18.768097
NAT_098,8/1/22,19.928955
NAT_098,9/1/22,15.906036
NAT_098,10/1/22,11.790497
NAT_098,11/1/22,-0.20037842
NAT_098,12/1/22,-1.8123779
NAT_099,1/1/18,0.37216187
NAT_099,2/1/18,-2.2521362
NAT_099,3/1/18,-1.2571716
NAT_099,4/1/18,4.1615906
NAT_099,5/1/18,11.027344
NAT_099,6/1/18,13.703949
NAT_099,7/1/18,20.693878
NAT_099,8/1/18,19.368347
NAT_099,9/1/18,13.828217
NAT_099,10/1/18,7.794861
NAT_099,11/1/18,2.2304382
NAT_099,12/1/18,-3.2402344
NAT_099,1/1/19,-1.3622742
NAT_099,2/1/19,-4.358856
NAT_099,3/1/19,-1.3126526
