year,month,siteid,UNIT_NAME,pud,tud,aud,eud,d2p
2020,Feb,NAT_065,Apache-Sitgreaves National Forests,0,6,18,19,2020-02-15
2020,Feb,NAT_066,Santa Fe National Forest,3,34,51,38,2020-02-15
2020,Feb,NAT_067,Dakota Prairie Grasslands,0,1,4,12,2020-02-15
2020,Feb,NAT_068,Bitterroot National Forest,0,1,8,1,2020-02-15
2020,Feb,NAT_069,Idaho Panhandle National Forests,0,10,35,9,2020-02-15
2020,Feb,NAT_070,Nez Perce-Clearwater National Forest,0,16,8,3,2020-02-15
2020,Feb,NAT_071,Lolo National Forest,0,15,19,45,2020-02-15
2020,Feb,NAT_072,Kootenai National Forest,0,4,1,8,2020-02-15
2020,Feb,NAT_073,Payette National Forest,1,4,2,5,2020-02-15
2020,Feb,NAT_074,Stanislaus National Forest,2,11,67,12,2020-02-15
2020,Feb,NAT_075,Mendocino National Forest,0,5,4,27,2020-02-15
2020,Feb,NAT_076,Cleveland National Forest,6,79,631,98,2020-02-15
2020,Feb,NAT_077,Modoc National Forest,0,3,1,0,2020-02-15
2020,Feb,NAT_078,Shasta-Trinity National Forest,0,7,50,11,2020-02-15
2020,Feb,NAT_079,San Bernardino National Forest,1,111,568,54,2020-02-15
2020,Feb,NAT_080,Los Padres National Forest,16,66,262,107,2020-02-15
2020,Feb,NAT_081,Angeles National Forest,6,169,1555,131,2020-02-15
2020,Feb,NAT_082,Six Rivers National Forest,1,7,2,3,2020-02-15
2020,Feb,NAT_083,Klamath National Forest,0,6,5,6,2020-02-15
2020,Feb,NAT_084,Sequoia National Forest,3,23,63,17,2020-02-15
2020,Feb,NAT_085,Inyo National Forest,10,149,58,72,2020-02-15
2020,Feb,NAT_086,Eldorado National Forest,6,36,83,5,2020-02-15
2020,Feb,NAT_087,Malheur National Forest,0,2,0,8,2020-02-15
2020,Feb,NAT_088,Siuslaw National Forest,25,14,140,59,2020-02-15
2020,Feb,NAT_089,Bridger-Teton National Forest,8,30,11,22,2020-02-15
2020,Feb,NAT_090,Salmon-Challis National Forest,1,59,1,0,2020-02-15
